iteration,mean_reward,std_reward,min_reward,max_reward,mean_pegs_left,timestamp
0,0.7864516129032252,0.05766529424402284,0.7287863186592023,0.8441169071472481,7.62,2026-04-14T21:00:38.438360
1,0.7922580645161286,0.054423475377969356,0.7378345891381592,0.8466815398940979,7.44,2026-04-14T21:00:39.864913
2,0.7890322580645156,0.06360976240365074,0.7254224956608648,0.8526420204681664,7.54,2026-04-14T21:00:41.066424
3,0.788387096774193,0.06326529379164518,0.7251218029825479,0.8516523905658382,7.56,2026-04-14T21:00:42.451796
4,0.7909677419354832,0.05815047400899995,0.7328172679264833,0.8491182159444832,7.48,2026-04-14T21:00:43.705264
5,0.7716129032258059,0.13076895767483632,0.6408439455509696,0.9023818609006422,8.08,2026-04-14T21:00:44.986404
6,0.7980645161290317,0.05835411650973415,0.7397103996192976,0.8564186326387658,7.26,2026-04-14T21:00:46.401067
7,0.787096774193548,0.09720334950528611,0.6898934246882619,0.884300123698834,7.6,2026-04-14T21:00:47.659629
8,0.7864516129032252,0.06607472199394013,0.720376890909285,0.8525263348971653,7.62,2026-04-14T21:00:48.832731
9,0.771612903225806,0.05836481485367035,0.7132480883721356,0.8299777180794764,8.08,2026-04-14T21:00:50.066173
10,0.8051612903225801,0.04953897760116761,0.7556223127214124,0.8547002679237478,7.04,2026-04-14T21:00:51.303872
11,0.7690322580645156,0.06808209526850534,0.7009501627960102,0.837114353333021,8.16,2026-04-14T21:00:52.521408
12,0.7916129032258058,0.06393610233742725,0.7276768008883785,0.8555490055632331,7.46,2026-04-14T21:00:53.781739
13,0.7832258064516124,0.06189514815593004,0.7213306582956824,0.8451209546075424,7.72,2026-04-14T21:00:55.067566
14,0.787096774193548,0.056979102363405414,0.7301176718301425,0.8440758765569534,7.6,2026-04-14T21:00:56.267805
15,0.7916129032258058,0.04706140961248224,0.7445514936133235,0.8386743128382881,7.46,2026-04-14T21:00:57.469766
16,0.7922580645161283,0.05442347537796935,0.737834589138159,0.8466815398940977,7.44,2026-04-14T21:00:58.853794
17,0.7864516129032252,0.04823200952662104,0.7382196033766042,0.8346836224298462,7.62,2026-04-14T21:01:00.203457
18,0.7845161290322575,0.052587571283393066,0.7319285577488645,0.8371037003156506,7.68,2026-04-14T21:01:01.475138
19,0.7896774193548382,0.0532951649756474,0.7363822543791907,0.8429725843304856,7.52,2026-04-14T21:01:02.705675
20,0.777419354838709,0.09789671551931295,0.679522639319396,0.8753160703580221,7.9,2026-04-14T21:01:03.959433
21,0.792903225806451,0.06357048903353295,0.7293327367729181,0.8564737148399839,7.42,2026-04-14T21:01:05.342157
22,0.7916129032258058,0.06328173957782633,0.7283311636479795,0.8548946428036321,7.46,2026-04-14T21:01:06.619271
23,0.7909677419354835,0.048382795507748794,0.7425849464277346,0.8393505374432323,7.48,2026-04-14T21:01:07.888269
24,0.7980645161290316,0.053126985486555256,0.7449375306424764,0.8511915016155869,7.26,2026-04-14T21:01:09.201249
25,0.7980645161290317,0.05273379635334046,0.7453307197756913,0.8507983124823721,7.26,2026-04-14T21:01:10.498322
26,0.8019354838709671,0.04652771543768458,0.7554077684332825,0.8484631993086518,7.14,2026-04-14T21:01:11.788275
27,0.788387096774193,0.05207854469834979,0.7363085520758432,0.8404656414725429,7.56,2026-04-14T21:01:13.244032
28,0.7825806451612897,0.06148018131974933,0.7211004638415404,0.844060826481039,7.74,2026-04-14T21:01:14.553041
29,0.7961290322580641,0.04889624599095845,0.7472327862671057,0.8450252782490225,7.32,2026-04-14T21:01:15.785249
30,0.7845161290322575,0.06067260875101283,0.7238435202812447,0.8451887377832704,7.68,2026-04-14T21:01:17.047680
31,0.7825806451612897,0.04414053802089628,0.7384401071403934,0.8267211831821859,7.74,2026-04-14T21:01:18.316856
32,0.788387096774193,0.052078544698349806,0.7363085520758432,0.8404656414725429,7.56,2026-04-14T21:01:19.567312
33,0.7929032258064511,0.04874704825771245,0.7441561775487386,0.8416502740641636,7.42,2026-04-14T21:01:20.819768
34,0.7819354838709671,0.10047959914287363,0.6814558847280935,0.8824150830138408,7.76,2026-04-14T21:01:22.028997
35,0.792903225806451,0.05362606103823571,0.7392771647682153,0.8465292868446868,7.42,2026-04-14T21:01:23.301149
36,0.8077419354838704,0.05622905437290556,0.7515128811109648,0.863970989856776,6.96,2026-04-14T21:01:24.583071
37,0.7896774193548382,0.05886190827332662,0.7308155110815115,0.8485393276281648,7.52,2026-04-14T21:01:25.925138
38,0.7929032258064511,0.05362606103823571,0.7392771647682154,0.8465292868446869,7.42,2026-04-14T21:01:27.144216
39,0.7999999999999994,0.05587260669577018,0.7441273933042292,0.8558726066957696,7.2,2026-04-14T21:01:28.394636
40,0.7845161290322573,0.10250555173919558,0.6820105772930617,0.8870216807714529,7.68,2026-04-14T21:01:29.659582
41,0.8180645161290317,0.05151603813594093,0.7665484779930908,0.8695805542649727,6.64,2026-04-14T21:01:30.960874
42,0.7754838709677414,0.09783504561170243,0.677648825356039,0.8733189165794438,7.96,2026-04-14T21:01:32.212291
43,0.7922580645161287,0.06709677419354833,0.7251612903225804,0.859354838709677,7.44,2026-04-14T21:01:33.482034
44,0.7903225806451607,0.04618651955895594,0.7441360610862048,0.8365091002041166,7.5,2026-04-14T21:01:34.716510
45,0.8070967741935476,0.058596132669210474,0.7485006415243372,0.8656929068627581,6.98,2026-04-14T21:01:35.958382
46,0.792903225806451,0.04566083168831092,0.7472423941181401,0.8385640574947619,7.42,2026-04-14T21:01:37.211881
47,0.7948387096774187,0.04364266974267806,0.7511960399347406,0.8384813794200967,7.36,2026-04-14T21:01:38.492015
48,0.7999999999999994,0.0503887075864945,0.7496112924135049,0.8503887075864939,7.2,2026-04-14T21:01:39.732811
49,0.7799999999999995,0.10235316631920627,0.6776468336807933,0.8823531663192057,7.82,2026-04-14T21:01:40.953280
50,0.7974193548387092,0.05914408586511396,0.7382752689735952,0.8565634407038232,7.28,2026-04-14T21:01:42.226770
51,0.7799999999999995,0.04593349035181303,0.7340665096481864,0.8259334903518125,7.82,2026-04-14T21:01:43.489178
52,0.7864516129032253,0.050343254644901636,0.7361083582583237,0.8367948675481269,7.62,2026-04-14T21:01:44.801202
53,0.7825806451612897,0.0604561226671877,0.722124522494102,0.8430367678284774,7.74,2026-04-14T21:01:46.029937
54,0.7999999999999994,0.052413150997651314,0.7475868490023481,0.8524131509976507,7.2,2026-04-14T21:01:47.238759
55,0.8038709677419349,0.06913769457867769,0.7347332731632572,0.8730086623206126,7.08,2026-04-14T21:01:48.507892
56,0.8006451612903221,0.05148775149091292,0.7491574097994093,0.852132912781235,7.18,2026-04-14T21:01:49.749489
57,0.7987096774193543,0.04937064895408767,0.7493390284652666,0.848080326373442,7.24,2026-04-14T21:01:51.008389
58,0.7851612903225801,0.058282744031325544,0.7268785462912546,0.8434440343539056,7.66,2026-04-14T21:01:52.234172
59,0.7980645161290317,0.062153514085813315,0.7359110020432185,0.860218030214845,7.26,2026-04-14T21:01:53.651902
60,0.7903225806451607,0.056336287730880535,0.7339862929142802,0.8466588683760412,7.5,2026-04-14T21:01:54.931877
61,0.7890322580645156,0.04616849203307053,0.7428637660314451,0.8352007500975861,7.54,2026-04-14T21:01:56.146666
62,0.7883870967741932,0.05207854469834979,0.7363085520758433,0.840465641472543,7.56,2026-04-14T21:01:57.354261
63,0.7825806451612897,0.059763669146429645,0.7228169760148601,0.8423443143077193,7.74,2026-04-14T21:01:58.629645
64,0.7832258064516122,0.04742703470835894,0.7357987717432533,0.8306528411599712,7.72,2026-04-14T21:01:59.933570
65,0.7819354838709671,0.10006449533079369,0.6818709885401735,0.8819999792017608,7.76,2026-04-14T21:02:01.219703
66,0.7909677419354832,0.0532951649756474,0.7376725769598358,0.8442629069111307,7.48,2026-04-14T21:02:02.469822
67,0.7993548387096767,0.054089762370898485,0.7452650763387783,0.8534446010805752,7.22,2026-04-14T21:02:03.794211
68,0.7948387096774188,0.06411488128415398,0.7307238283932648,0.8589535909615728,7.36,2026-04-14T21:02:05.064746
69,0.7851612903225801,0.05572714857634048,0.7294341417462396,0.8408884388989206,7.66,2026-04-14T21:02:06.330829
70,0.788387096774193,0.052871745157542865,0.7355153516166502,0.841258841931736,7.56,2026-04-14T21:02:07.711745
71,0.792903225806451,0.06389702954766835,0.7290061962587826,0.8568002553541194,7.42,2026-04-14T21:02:09.011004
72,0.7774193548387092,0.10205994851326686,0.6753594063254423,0.879479303351976,7.9,2026-04-14T21:02:10.263846
73,0.7999999999999994,0.05280872756046737,0.747191272439532,0.8528087275604668,7.2,2026-04-14T21:02:11.525651
74,0.7967741935483865,0.04923979845959269,0.7475343950887938,0.8460139920079792,7.3,2026-04-14T21:02:12.754096
75,0.7935483870967736,0.05280872756046738,0.7407396595363062,0.846357114657241,7.4,2026-04-14T21:02:14.023158
76,0.7941935483870962,0.05156852931198077,0.7426250190751155,0.845762077699077,7.38,2026-04-14T21:02:15.281232
77,0.7935483870967736,0.05734318978913279,0.7362051973076408,0.8508915768859063,7.4,2026-04-14T21:02:16.533191
78,0.7916129032258058,0.05405897269293988,0.7375539305328659,0.8456718759187457,7.46,2026-04-14T21:02:17.741660
79,0.788387096774193,0.04238469085330794,0.7460024059208851,0.830771787627501,7.56,2026-04-14T21:02:19.004784
80,0.8045161290322573,0.059274138687707714,0.7452419903445496,0.863790267719965,7.06,2026-04-14T21:02:20.240980
81,0.7954838709677413,0.05497516230392946,0.7405087086638118,0.8504590332716708,7.34,2026-04-14T21:02:21.484002
82,0.780645161290322,0.058064516129032205,0.7225806451612898,0.8387096774193542,7.8,2026-04-14T21:02:22.690954
83,0.7941935483870962,0.0495095614011604,0.7446839869859359,0.8437031097882566,7.38,2026-04-14T21:02:23.950838
84,0.8064516129032253,0.053591121696245594,0.7528604912069797,0.8600427345994709,7.0,2026-04-14T21:02:25.266100
85,0.7883870967741928,0.04703929324789205,0.7413478035263008,0.8354263900220849,7.56,2026-04-14T21:02:26.507760
86,0.8103225806451607,0.05611049007782937,0.7542120905673313,0.8664330707229901,6.88,2026-04-14T21:02:27.737413
87,0.8032258064516123,0.05171361142542382,0.7515121950261885,0.8549394178770362,7.1,2026-04-14T21:02:29.016014
