iteration,eval_mean_reward,eval_std_reward,eval_mean_pegs_left,greedy_reward,greedy_pegs_left,timestamp
0,0.7864516129032252,0.05766529424402284,7.62,0.8064516129032253,7.0,2026-04-14T21:00:38.438360
1,0.7922580645161286,0.054423475377969356,7.44,0.8064516129032253,7.0,2026-04-14T21:00:39.864913
2,0.7890322580645156,0.06360976240365074,7.54,0.8064516129032253,7.0,2026-04-14T21:00:41.066424
3,0.788387096774193,0.06326529379164518,7.56,0.8064516129032253,7.0,2026-04-14T21:00:42.451796
4,0.7909677419354832,0.05815047400899995,7.48,0.8064516129032253,7.0,2026-04-14T21:00:43.705264
5,0.7716129032258059,0.13076895767483632,8.08,0.8064516129032253,7.0,2026-04-14T21:00:44.986404
6,0.7980645161290317,0.05835411650973415,7.26,0.8064516129032253,7.0,2026-04-14T21:00:46.401067
7,0.787096774193548,0.09720334950528611,7.6,0.8064516129032253,7.0,2026-04-14T21:00:47.659629
8,0.7864516129032252,0.06607472199394013,7.62,0.8064516129032253,7.0,2026-04-14T21:00:48.832731
9,0.771612903225806,0.05836481485367035,8.08,0.8064516129032253,7.0,2026-04-14T21:00:50.066173
10,0.8051612903225801,0.04953897760116761,7.04,0.8064516129032253,7.0,2026-04-14T21:00:51.303872
11,0.7690322580645156,0.06808209526850534,8.16,0.8064516129032253,7.0,2026-04-14T21:00:52.521408
12,0.7916129032258058,0.06393610233742725,7.46,0.8064516129032253,7.0,2026-04-14T21:00:53.781739
13,0.7832258064516124,0.06189514815593004,7.72,0.8064516129032253,7.0,2026-04-14T21:00:55.067566
14,0.787096774193548,0.056979102363405414,7.6,0.8064516129032253,7.0,2026-04-14T21:00:56.267805
15,0.7916129032258058,0.04706140961248224,7.46,0.8064516129032253,7.0,2026-04-14T21:00:57.469766
16,0.7922580645161283,0.05442347537796935,7.44,0.8709677419354833,5.0,2026-04-14T21:00:58.853794
17,0.7864516129032252,0.04823200952662104,7.62,0.8064516129032253,7.0,2026-04-14T21:01:00.203457
18,0.7845161290322575,0.052587571283393066,7.68,0.8064516129032253,7.0,2026-04-14T21:01:01.475138
19,0.7896774193548382,0.0532951649756474,7.52,0.8064516129032253,7.0,2026-04-14T21:01:02.705675
20,0.777419354838709,0.09789671551931295,7.9,0.8064516129032253,7.0,2026-04-14T21:01:03.959433
21,0.792903225806451,0.06357048903353295,7.42,0.8387096774193543,6.0,2026-04-14T21:01:05.342157
22,0.7916129032258058,0.06328173957782633,7.46,0.8387096774193543,6.0,2026-04-14T21:01:06.619271
23,0.7909677419354835,0.048382795507748794,7.48,0.8387096774193543,6.0,2026-04-14T21:01:07.888269
24,0.7980645161290316,0.053126985486555256,7.26,0.8387096774193543,6.0,2026-04-14T21:01:09.201249
25,0.7980645161290317,0.05273379635334046,7.26,0.8387096774193543,6.0,2026-04-14T21:01:10.498322
26,0.8019354838709671,0.04652771543768458,7.14,0.8387096774193543,6.0,2026-04-14T21:01:11.788275
27,0.788387096774193,0.05207854469834979,7.56,0.8387096774193543,6.0,2026-04-14T21:01:13.244032
28,0.7825806451612897,0.06148018131974933,7.74,0.8387096774193543,6.0,2026-04-14T21:01:14.553041
29,0.7961290322580641,0.04889624599095845,7.32,0.8387096774193543,6.0,2026-04-14T21:01:15.785249
30,0.7845161290322575,0.06067260875101283,7.68,0.8387096774193543,6.0,2026-04-14T21:01:17.047680
31,0.7825806451612897,0.04414053802089628,7.74,0.8387096774193543,6.0,2026-04-14T21:01:18.316856
32,0.788387096774193,0.052078544698349806,7.56,0.8387096774193543,6.0,2026-04-14T21:01:19.567312
33,0.7929032258064511,0.04874704825771245,7.42,0.8387096774193543,6.0,2026-04-14T21:01:20.819768
34,0.7819354838709671,0.10047959914287363,7.76,0.8387096774193543,6.0,2026-04-14T21:01:22.028997
35,0.792903225806451,0.05362606103823571,7.42,0.8387096774193543,6.0,2026-04-14T21:01:23.301149
36,0.8077419354838704,0.05622905437290556,6.96,0.8387096774193543,6.0,2026-04-14T21:01:24.583071
37,0.7896774193548382,0.05886190827332662,7.52,0.8387096774193543,6.0,2026-04-14T21:01:25.925138
38,0.7929032258064511,0.05362606103823571,7.42,0.8387096774193543,6.0,2026-04-14T21:01:27.144216
39,0.7999999999999994,0.05587260669577018,7.2,0.8387096774193543,6.0,2026-04-14T21:01:28.394636
40,0.7845161290322573,0.10250555173919558,7.68,0.8387096774193543,6.0,2026-04-14T21:01:29.659582
41,0.8180645161290317,0.05151603813594093,6.64,0.7741935483870963,8.0,2026-04-14T21:01:30.960874
42,0.7754838709677414,0.09783504561170243,7.96,0.7741935483870963,8.0,2026-04-14T21:01:32.212291
43,0.7922580645161287,0.06709677419354833,7.44,0.7741935483870963,8.0,2026-04-14T21:01:33.482034
44,0.7903225806451607,0.04618651955895594,7.5,0.7741935483870963,8.0,2026-04-14T21:01:34.716510
45,0.8070967741935476,0.058596132669210474,6.98,0.7741935483870963,8.0,2026-04-14T21:01:35.958382
46,0.792903225806451,0.04566083168831092,7.42,0.8387096774193543,6.0,2026-04-14T21:01:37.211881
47,0.7948387096774187,0.04364266974267806,7.36,0.8387096774193543,6.0,2026-04-14T21:01:38.492015
48,0.7999999999999994,0.0503887075864945,7.2,0.8387096774193543,6.0,2026-04-14T21:01:39.732811
49,0.7799999999999995,0.10235316631920627,7.82,0.8387096774193543,6.0,2026-04-14T21:01:40.953280
50,0.7974193548387092,0.05914408586511396,7.28,0.8387096774193543,6.0,2026-04-14T21:01:42.226770
51,0.7799999999999995,0.04593349035181303,7.82,0.8387096774193543,6.0,2026-04-14T21:01:43.489178
52,0.7864516129032253,0.050343254644901636,7.62,0.8387096774193543,6.0,2026-04-14T21:01:44.801202
53,0.7825806451612897,0.0604561226671877,7.74,0.8387096774193543,6.0,2026-04-14T21:01:46.029937
54,0.7999999999999994,0.052413150997651314,7.2,0.8387096774193543,6.0,2026-04-14T21:01:47.238759
55,0.8038709677419349,0.06913769457867769,7.08,0.8387096774193543,6.0,2026-04-14T21:01:48.507892
56,0.8006451612903221,0.05148775149091292,7.18,0.8387096774193543,6.0,2026-04-14T21:01:49.749489
57,0.7987096774193543,0.04937064895408767,7.24,0.8387096774193543,6.0,2026-04-14T21:01:51.008389
58,0.7851612903225801,0.058282744031325544,7.66,0.8387096774193543,6.0,2026-04-14T21:01:52.234172
59,0.7980645161290317,0.062153514085813315,7.26,0.8387096774193543,6.0,2026-04-14T21:01:53.651902
60,0.7903225806451607,0.056336287730880535,7.5,0.8387096774193543,6.0,2026-04-14T21:01:54.931877
61,0.7890322580645156,0.04616849203307053,7.54,0.8387096774193543,6.0,2026-04-14T21:01:56.146666
62,0.7883870967741932,0.05207854469834979,7.56,0.8387096774193543,6.0,2026-04-14T21:01:57.354261
63,0.7825806451612897,0.059763669146429645,7.74,0.8387096774193543,6.0,2026-04-14T21:01:58.629645
64,0.7832258064516122,0.04742703470835894,7.72,0.8387096774193543,6.0,2026-04-14T21:01:59.933570
65,0.7819354838709671,0.10006449533079369,7.76,0.8387096774193543,6.0,2026-04-14T21:02:01.219703
